t,fv0_x,fv0_v,fv0_v_kmh,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
10.15,-3.491971,0.30227765,1.0881995,267.27313,-0.062185578,-1.0439994e-09,2.7041545e-09,3.491971,2.3022776
10.2,-3.476949,0.29939228,1.0778122,253.9137,-0.072583936,-8.809988e-10,3.815871e-09,3.476949,2.2993922
10.25,-3.4620647,0.2958534,1.0650723,262.62512,-0.065791756,-6.597831e-10,5.032754e-09,3.4620647,2.2958534
10.3,-3.4473484,0.29245642,1.0528431,268.16818,-0.06146745,-3.750942e-10,6.354803e-09,3.4473484,2.2924564
10.35,-3.4328191,0.28972268,1.0430017,253.92458,-0.07255473,-2.1673701e-11,7.782018e-09,3.4328191,2.2897227
10.4,-3.418409,0.28603062,1.0297103,271.45706,-0.058892258,4.057367e-10,9.314398e-09,3.418409,2.2860305
10.45,-3.4041862,0.28311437,1.0192118,265.56082,-0.06347811,9.1239527e-10,1.0951945e-08,3.4041862,2.2831144
10.5,-3.3901176,0.28019992,1.0087197,260.8454,-0.067144334,1.5035604e-09,1.2694658e-08,3.3901176,2.2802
10.55,-3.3761778,0.27669978,0.99611926,276.0521,-0.055293646,2.1755138e-09,1.41834775e-08,3.3761778,2.2766998
10.6,-3.3624268,0.27416572,0.98699665,261.62268,-0.06652609,2.9065843e-09,1.5059344e-08,3.3624268,2.2741656
10.65,-3.3487961,0.27093107,0.9753518,270.7741,-0.059391927,3.6661245e-09,1.5322259e-08,3.3487961,2.270931
10.7,-3.335319,0.2678753,0.9643512,275.3901,-0.055790406,4.4234865e-09,1.4972223e-08,3.335319,2.2678754
10.75,-3.3220103,0.2654093,0.9554735,262.27835,-0.06599682,5.148023e-09,1.4009233e-08,3.3220103,2.2654092
