traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
0.0,22.1,215.90353,5.692033,5.7274666,-1549.2662,-1.2065936,-1.4974873
0.0,22.2,216.46568,5.543787,5.643733,-1541.7203,-1.2007167,-1.4908051
0.0,22.3,217.01381,5.3961973,5.464663,-1531.7104,-1.1929209,-1.482221
0.0,22.4,217.54797,5.2494297,5.1860824,-1519.2368,-1.1832062,-1.4717358
0.0,22.5,218.06827,5.103657,5.095157,-1504.2991,-1.1715726,-1.45935
0.0,22.6,218.5748,4.959053,4.9194317,-1486.8976,-1.1580199,-1.4450643
0.0,22.7,219.06763,4.815797,4.854744,-1467.0321,-1.1425483,-1.4288793
0.0,22.8,219.54692,4.6740704,4.7359223,-1444.7028,-1.125158,-1.4107953
0.0,22.9,220.01276,4.5340605,4.486542,-1419.9094,-1.1058486,-1.3908131
0.0,23.0,220.46527,4.3959565,4.5516176,-1392.6523,-1.0846201,-1.368933
0.0,23.1,220.90463,4.2599516,4.178179,-1362.9313,-1.0614729,-1.3451552
0.0,23.2,221.33098,4.126243,4.030598,-1330.7462,-1.0364068,-1.3194804
0.0,23.3,221.74448,3.9950318,4.034743,-1296.0974,-1.0094216,-1.2919089
0.0,23.4,222.14528,3.866522,3.6895416,-1258.9846,-0.9805176,-1.2624407
0.0,23.5,222.5336,3.7409227,3.9583683,-1219.408,-0.94969463,-1.2310761
0.0,23.6,222.9096,3.618445,3.5526822,-1177.3673,-0.9169528,-1.1978157
0.0,23.7,223.27351,3.4993045,3.3463318,-1132.8629,-0.882292,-1.1626592
0.0,23.8,223.62552,3.3837209,3.4918933,-1085.8945,-0.8457122,-1.125607
0.0,23.9,223.96585,3.271917,3.4018972,-1036.4622,-0.80721354,-1.0866592
0.0,24.0,224.29475,3.1641197,3.147006,-984.566,-0.76679593,-1.0458158
0.0,24.1,224.61247,3.060559,2.923641,-930.2059,-0.7244594,-1.003077
0.0,24.2,224.91924,2.9614694,2.9832566,-873.3819,-0.680204,-0.95844287
0.0,24.3,225.21532,2.8670883,2.861464,-814.094,-0.63402957,-0.91191345
0.0,24.4,225.50099,2.7776573,2.773694,-752.34216,-0.5859363,-0.8634888
0.0,24.5,225.77655,2.6934216,2.720864,-688.12646,-0.5359241,-0.81316894
0.0,24.6,226.04234,2.6146672,2.5687892,-621.4469,-0.48399287,-0.7609542
0.0,24.7,226.3001,2.5421236,2.4748712,-552.30334,-0.4301428,-0.70684624
0.0,24.8,226.55086,2.4758701,2.5369031,-480.69595,-0.3743738,-0.6508446
0.0,24.9,226.79529,2.4157436,2.517001,-406.62463,-0.31668583,-0.59294784
0.0,25.0,227.03397,2.3615801,2.4085302,-330.0894,-0.25707898,-0.5331548
0.0,25.1,227.26753,2.3132153,2.295323,-253.48872,-0.19742113,-0.47333226
0.0,25.2,227.49654,2.2704844,2.3489482,-179.22108,-0.13958028,-0.4153471
0.0,25.3,227.72154,2.233222,2.2439601,-107.286446,-0.08355642,-0.3591983
0.0,25.4,227.9431,2.2012622,2.2386866,-37.684822,-0.02934955,-0.30488497
0.0,25.5,228.16174,2.1744387,2.2850552,29.58378,0.023040328,-0.2524062
0.0,25.6,228.37798,2.1525843,2.2351992,94.51937,0.07361322,-0.20176126
